Timestamp,Human readable date,daily,Context
1635090618000,2021-10-24 15:50:18,2.0,b'{}'
1635087600000,2021-10-24 15:00:00,0.0,b'{}'
1635084001000,2021-10-24 14:00:01,0.0,b'{}'
1635080401000,2021-10-24 13:00:01,0.0,b'{}'
1635076801000,2021-10-24 12:00:01,0.0,b'{}'
1635073200000,2021-10-24 11:00:00,0.0,b'{}'
1635069601000,2021-10-24 10:00:01,0.0,b'{}'
1635066001000,2021-10-24 09:00:01,0.0,b'{}'
1635062400000,2021-10-24 08:00:00,0.0,b'{}'
1635058800000,2021-10-24 07:00:00,0.0,b'{}'
1635053024000,2021-10-24 05:23:44,604.0,b'{}'
1635051600000,2021-10-24 05:00:00,597.0,b'{}'
1635048001000,2021-10-24 04:00:01,597.0,b'{}'
1635041828000,2021-10-24 02:17:08,597.0,b'{}'
Timestamp,Human readable date,daily,Context
1635385876000,2021-10-28 01:51:16,114.0,b'{}'
1635382211000,2021-10-28 00:50:11,91.0,b'{}'
1635379127000,2021-10-27 23:58:47,61.0,b'{}'
1635375063000,2021-10-27 22:51:03,46.0,b'{}'
1635371914000,2021-10-27 21:58:34,39.0,b'{}'
1635367984000,2021-10-27 20:53:04,35.0,b'{}'
1635364542000,2021-10-27 19:55:42,29.0,b'{}'
1635359488000,2021-10-27 18:31:28,23.0,b'{}'
1635357577000,2021-10-27 17:59:37,19.0,b'{}'
1635351701000,2021-10-27 16:21:41,11.0,b'{}'
1635347839000,2021-10-27 15:17:19,4.0,b'{}'
1635346493000,2021-10-27 14:54:53,2.0,b'{}'
1635343201000,2021-10-27 14:00:01,0.0,b'{}'
1635339601000,2021-10-27 13:00:01,0.0,b'{}'
1635336000000,2021-10-27 12:00:00,0.0,b'{}'
1635306921000,2021-10-27 03:55:21,56.0,b'{}'
1635301027000,2021-10-27 02:17:07,55.0,b'{}'
1635299543000,2021-10-27 01:52:23,54.0,b'{}'
1635296276000,2021-10-27 00:57:56,45.0,b'{}'
1635291772000,2021-10-26 23:42:52,39.0,b'{}'
1635289067000,2021-10-26 22:57:47,25.0,b'{}'
1635285392000,2021-10-26 21:56:32,12.0,b'{}'
1635281892000,2021-10-26 20:58:12,6.0,b'{}'
1635278401000,2021-10-26 20:00:01,0.0,b'{}'
1635274801000,2021-10-26 19:00:01,0.0,b'{}'
1635271201000,2021-10-26 18:00:01,0.0,b'{}'
1635267601000,2021-10-26 17:00:01,0.0,b'{}'
1635264000000,2021-10-26 16:00:00,0.0,b'{}'
1635260401000,2021-10-26 15:00:01,0.0,b'{}'
1635256800000,2021-10-26 14:00:00,0.0,b'{}'
1635253201000,2021-10-26 13:00:01,0.0,b'{}'
1635249601000,2021-10-26 12:00:01,0.0,b'{}'
1635217201000,2021-10-26 03:00:01,0.0,b'{}'
1635213601000,2021-10-26 02:00:01,0.0,b'{}'
1635210001000,2021-10-26 01:00:01,0.0,b'{}'
1635206401000,2021-10-26 00:00:01,0.0,b'{}'
1635202800000,2021-10-25 23:00:00,0.0,b'{}'
1635199200000,2021-10-25 22:00:00,0.0,b'{}'
1635195601000,2021-10-25 21:00:01,0.0,b'{}'
1635192001000,2021-10-25 20:00:01,0.0,b'{}'
1635188401000,2021-10-25 19:00:01,0.0,b'{}'
1635184801000,2021-10-25 18:00:01,0.0,b'{}'
1635181200000,2021-10-25 17:00:00,0.0,b'{}'
1635177600000,2021-10-25 16:00:00,0.0,b'{}'
1635174001000,2021-10-25 15:00:01,0.0,b'{}'
1635170400000,2021-10-25 14:00:00,0.0,b'{}'
1635166801000,2021-10-25 13:00:01,0.0,b'{}'
1635163201000,2021-10-25 12:00:01,0.0,b'{}'
1635130801000,2021-10-25 03:00:01,0.0,b'{}'
1635127201000,2021-10-25 02:00:01,0.0,b'{}'
1635123601000,2021-10-25 01:00:01,0.0,b'{}'
1635120000000,2021-10-25 00:00:00,0.0,b'{}'
1635116401000,2021-10-24 23:00:01,0.0,b'{}'
1635112800000,2021-10-24 22:00:00,0.0,b'{}'
1635109201000,2021-10-24 21:00:01,0.0,b'{}'
1635105601000,2021-10-24 20:00:01,0.0,b'{}'
1635102000000,2021-10-24 19:00:00,0.0,b'{}'
1635098400000,2021-10-24 18:00:00,0.0,b'{}'
1635094801000,2021-10-24 17:00:01,0.0,b'{}'
1635091201000,2021-10-24 16:00:01,0.0,b'{}'
1635087600000,2021-10-24 15:00:00,0.0,b'{}'
1635084001000,2021-10-24 14:00:01,0.0,b'{}'
1635080401000,2021-10-24 13:00:01,0.0,b'{}'
1635076800000,2021-10-24 12:00:00,0.0,b'{}'
1635044400000,2021-10-24 03:00:00,0.0,b'{}'
Timestamp,Human readable date,daily,Context
1635385545000,2021-10-28 01:45:45,131.0,b'{}'
1635381736000,2021-10-28 00:42:16,119.0,b'{}'
1635379111000,2021-10-27 23:58:31,100.0,b'{}'
1635375085000,2021-10-27 22:51:25,74.0,b'{}'
1635371766000,2021-10-27 21:56:06,57.0,b'{}'
1635368317000,2021-10-27 20:58:37,28.0,b'{}'
1635362769000,2021-10-27 19:26:09,15.0,b'{}'
1635360372000,2021-10-27 18:46:12,9.0,b'{}'
1635356017000,2021-10-27 17:33:37,7.0,b'{}'
1635353963000,2021-10-27 16:59:23,5.0,b'{}'
1635347169000,2021-10-27 15:06:09,2.0,b'{}'
1635346483000,2021-10-27 14:54:43,1.0,b'{}'
1635343201000,2021-10-27 14:00:01,0.0,b'{}'
1635339600000,2021-10-27 13:00:00,0.0,b'{}'
1635336000000,2021-10-27 12:00:00,0.0,b'{}'
1635332401000,2021-10-27 11:00:01,0.0,b'{}'
1635328801000,2021-10-27 10:00:01,0.0,b'{}'
1635325201000,2021-10-27 09:00:01,0.0,b'{}'
1635321601000,2021-10-27 08:00:01,0.0,b'{}'
1635318001000,2021-10-27 07:00:01,0.0,b'{}'
1635314401000,2021-10-27 06:00:01,125.0,b'{}'
